"","playlist.id","playlist.name","playlist.description","followers.total","owner.display_name","owner.uri","tracks.limit","tracks.total","playlist.extracteddate"
1603,"37i9dQZEVXbKIVTPX9a2Sb","Top 50 - Slovakia","Your daily update of the most played tracks right now - Slovakia.",20439,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1604,"37i9dQZEVXbMH2jvi6jvjk","Top 50 - South Africa","Your daily update of the most played tracks right now - South Africa.",31381,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1605,"37i9dQZEVXbNxXF4SkHj9F","Top 50 - South Korea","Your daily update of the most played tracks right now - South Korea.",67075,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1606,"37i9dQZEVXbNFJfN1Vw8d9","Top 50 - Spain","Your daily update of the most played tracks right now - Spain.",1514219,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1607,"6zFJ2HTXC3d38AgpfcPGph","Top 50 - Suriname","Your weekly update of the most played tracks right now - Suriname.",114,"Spotify","spotify:user:by1zq46ly1v79bl16d296hy41",100,48,"2022-11-27"
1608,"37i9dQZEVXbLoATJ81JYXz","Top 50 - Sweden","Your daily update of the most played tracks right now - Sweden.",602946,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1609,"37i9dQZEVXbJiyhoAPEfMK","Top 50 - Switzerland","Your daily update of the most played tracks right now - Switzerland.",120183,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1610,"37i9dQZEVXbMnZEatlMSiu","Top 50 - Taiwan","Your daily update of the most played tracks right now - Taiwan.",198425,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1611,"37i9dQZEVXbMnz8KIWsvf9","Top 50 - Thailand","Your daily update of the most played tracks right now - Thailand.",133850,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1612,"37i9dQZEVXbIVYVBNw9D5K","Top 50 - Turkey","Your daily update of the most played tracks right now - Turkey.",779611,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1613,"37i9dQZEVXbM4UZuIrvHvA","Top 50 - UAE","Your daily update of the most played tracks right now - UAE.",2768,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1614,"37i9dQZEVXbLRQDuF5jeBp","Top 50 - USA","Your daily update of the most played tracks right now - USA.",3414928,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1615,"37i9dQZEVXbKkidEfWYRuD","Top 50 - Ukraine","Your daily update of the most played tracks right now - Ukraine.",20602,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1616,"37i9dQZEVXbLnolsZ8PSNw","Top 50 - United Kingdom","Your daily update of the most played tracks right now - United Kingdom.",2180353,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1617,"37i9dQZEVXbLdGSmz6xilI","Top 50 - Vietnam","Your daily update of the most played tracks right now - Vietnam.",75954,"Spotify","spotify:user:spotify",100,50,"2022-11-27"
1618,"5atgcoJ9pDa39CzCYdXkRi","Top 50 Polska","Twoja codzienna dawka aktualnie najpopularniejszych utworów w Polsce.",758,"Spotify","spotify:user:2156hfddk45dmqcy372ryrvzi",100,50,"2022-11-27"
1619,"3seAKhZ9QXirBjL9lazOi4","Top 50+ Zimbabwe","Top Fresh Music Playlist. Updated Daily, refreshed every Saturday! Trending 2022 Trends Only! Vibes all way! @llermaz",101,"Spotify","spotify:user:31p7pd2zove76npybdfyl5b3gywm",100,260,"2022-11-27"
1620,"37i9dQZEVXbMMy2roB9myp","Top 50 - Argentina","Your daily update of the most played tracks right now - Argentina.",1276288,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1621,"37i9dQZEVXbJPcfkRz0wJ0","Top 50 - Australia","Your daily update of the most played tracks right now - Australia.",809004,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1622,"37i9dQZEVXbKNHh6NIXu36","Top 50 - Austria","Your daily update of the most played tracks right now - Austria.",118041,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1623,"37i9dQZEVXbJNSeeHswcKB","Top 50 - Belgium","Your daily update of the most played tracks right now - Belgium.",267991,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1624,"37i9dQZEVXbJqfMFK4d691","Top 50 - Bolivia","Your daily update of the most played tracks right now - Bolivia.",91836,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1625,"37i9dQZEVXbMXbN3EUUhlg","Top 50 - Brazil","Your daily update of the most played tracks right now - Brazil.",3213459,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1626,"37i9dQZEVXbKj23U1GF4IR","Top 50 - Canada","Your daily update of the most played tracks right now - Canada.",332486,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1627,"37i9dQZEVXbL0GavIqMTeb","Top 50 - Chile","Your daily update of the most played tracks right now - Chile.",506529,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1628,"37i9dQZEVXbOa2lmxNORXQ","Top 50 - Colombia","Your daily update of the most played tracks right now - Colombia.",774688,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1629,"37i9dQZEVXbMZAjGMynsQX","Top 50 - Costa Rica","Your daily update of the most played tracks right now - Costa Rica.",139423,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1630,"37i9dQZEVXbL3J0k32lWnN","Top 50 - Denmark","Your daily update of the most played tracks right now - Denmark.",193355,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1631,"37i9dQZEVXbJlM6nvL1nD1","Top 50 - Ecuador","Your daily update of the most played tracks right now - Ecuador.",169416,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1632,"37i9dQZEVXbLesry2Qw2xS","Top 50 - Estonia","Your daily update of the most played tracks right now - Estonia.",17001,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1633,"37i9dQZEVXbMxcczTSoGwZ","Top 50 - Finland","Your daily update of the most played tracks right now - Finland.",132198,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1634,"37i9dQZEVXbIPWwFssbupI","Top 50 - France","Your daily update of the most played tracks right now - France.",818542,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1635,"37i9dQZEVXbJiZcmkrIHGU","Top 50 - Germany","Your daily update of the most played tracks right now - Germany.",2131895,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1636,"37i9dQZEVXbMDoHDwVN2tF","Top 50 - Global","Your daily update of the most played tracks right now - Global.",17031178,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1637,"37i9dQZEVXbJqdarpmTJDL","Top 50 - Greece","Your daily update of the most played tracks right now - Greece.",80226,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1638,"37i9dQZEVXbLy5tBFyQvd4","Top 50 - Guatemala","Your daily update of the most played tracks right now - Guatemala.",74898,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1639,"37i9dQZEVXbLwpL8TjsxOG","Top 50 - Hong Kong","Your daily update of the most played tracks right now - Hong Kong.",105451,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1640,"37i9dQZEVXbNHwMxAkvmF8","Top 50 - Hungary","Your daily update of the most played tracks right now - Hungary.",68617,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1641,"37i9dQZEVXbKMzVsSGQ49S","Top 50 - Iceland","Your daily update of the most played tracks right now - Iceland.",39797,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1642,"37i9dQZEVXbLZ52XmnySJg","Top 50 - India","Your daily update of the most played tracks right now - India.",357372,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1643,"37i9dQZEVXbObFQZ3JLcXt","Top 50 - Indonesia","Your daily update of the most played tracks right now - Indonesia.",625262,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1644,"37i9dQZEVXbKM896FDX8L1","Top 50 - Ireland","Your daily update of the most played tracks right now - Ireland.",240011,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1645,"37i9dQZEVXbJ6IpvItkve3","Top 50 - Israel","Your daily update of the most played tracks right now - Israel.",48998,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1646,"37i9dQZEVXbIQnj7RRhdSX","Top 50 - Italy","Your daily update of the most played tracks right now - Italy.",1028335,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1647,"37i9dQZEVXbKXQ4mDTEBXq","Top 50 - Japan","Your daily update of the most played tracks right now - Japan.",935918,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1648,"37i9dQZEVXbKGcyg6TFGx6","Top 50 - Luxembourg","Your daily update of the most played tracks right now - Luxembourg.",7392,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1649,"37i9dQZEVXbJlfUljuZExa","Top 50 - Malaysia","Your daily update of the most played tracks right now - Malaysia.",201934,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1650,"37i9dQZEVXbO3qyFxbkOE1","Top 50 - Mexico","Your daily update of the most played tracks right now - Mexico.",1567534,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1651,"37i9dQZEVXbJU9eQpX8gPT","Top 50 - Morocco","Your daily update of the most played tracks right now - Morocco.",25247,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1652,"37i9dQZEVXbKCF6dqVpDkS","Top 50 - Netherlands","Your daily update of the most played tracks right now - Netherlands.",904281,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1653,"37i9dQZEVXbM8SIrkERIYl","Top 50 - New Zealand","Your daily update of the most played tracks right now - New Zealand.",210882,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1654,"37i9dQZEVXbISk8kxnzfCq","Top 50 - Nicaragua","Your daily update of the most played tracks right now - Nicaragua.",15668,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1655,"37i9dQZEVXbJvfa0Yxg7E7","Top 50 - Norway","Your daily update of the most played tracks right now - Norway.",522082,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1656,"37i9dQZEVXbKypXHVwk1f0","Top 50 - Panama","Your daily update of the most played tracks right now - Panama.",93549,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1657,"37i9dQZEVXbJfdy5b0KP7W","Top 50 - Peru","Your daily update of the most played tracks right now - Peru.",449698,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1658,"37i9dQZEVXbNBz9cRCSFkY","Top 50 - Philippines","Your daily update of the most played tracks right now - Philippines.",1196037,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
1659,"37i9dQZEVXbKyJS56d1pgi","Top 50 - Portugal","Your daily update of the most played tracks right now - Portugal.",196159,"Spotify","spotify:user:spotify",100,50,"2022-11-28"
